,User,Date Created,Number of Likes,Source of Tweet,Tweet
83,Fabien Delacour,2023-02-01 14:39:27+00:00,1,Twitter Web App,@RudyCDB_SNCF_ @BFMTV @Marc_Hay_BFMTV Faut que ça buzz et oui !
84,Roxanne,2023-02-01 14:38:07+00:00,0,Twitter for Android,"RT @RafikSmati: Alors que 2 TER sur 10 circulent aujourd'hui, les syndicats de la SNCF ne voudraient surtout pas que l'on sache que 65% (!)…"
85,Doume17,2023-02-01 14:38:04+00:00,0,Twitter for iPhone,"RT @RafikSmati: Alors que 2 TER sur 10 circulent aujourd'hui, les syndicats de la SNCF ne voudraient surtout pas que l'on sache que 65% (!)…"
86,Alex Reconquête,2023-02-01 14:37:57+00:00,0,Twitter for iPhone,RT @xXGorkXx: J'attends les explications de la SNCF pour ce retard ... https://t.co/FbtuLnI30h
87,🌨️Chef de bord TER HDF Nord-Pas-de-Calais 🌨️,2023-02-01 14:37:51+00:00,0,Twitter for Android,@FabienDel69 @BFMTV Oui et puis tu remarqueras que @Marc_Hay_BFMTV n'a pas corrigé le journaliste lors du lancement du sujet...
88,Toutvabien,2023-02-01 14:37:20+00:00,0,Twitter Web App,"RT @JJ_BOURPIF: Bien tenté le coup de l'exclusion du mouvement anti #ReformeDesRetraites des salariés de la RATP , SNCF et EDF, Dominique S…"
89,TER Hauts-de-France,2023-02-01 14:37:06+00:00,0,TweetDeck,"@blissful_lady02 Bonjour, toute situation anormale en gare ou à bord d'un train peut être signalée par téléphone au… https://t.co/fYQmkicxI8"
90,LeJuristeDel’Hérault,2023-02-01 14:37:05+00:00,0,Twitter for iPhone,"RT @BFMTV: 🔴 EN DIRECT
Gabriel Attal aux syndicats: ""si vous continuez à vous mobiliser, continuez à le faire en respectant les Français qu…"
91,Tutzo Marie,2023-02-01 14:36:56+00:00,0,Twitter for Android,"@client_sncf @Francois_Ruffin Au mépris des règles élémentaires de sécurité, nous avions une dérogation pour accuei… https://t.co/0vDjIxniMU"
92,chaussademadeleine,2023-02-01 14:36:32+00:00,0,Twitter for iPhone,"RT @HCheeseland: @fmomboisse @pascalperri Les fonctionnaires de la banque de France ne manifestent pas et leur régime va s'éteindre
Par con…"
93,Gayané / Գայանե 🇨🇵🇦🇲 #StopArtsakhBlockade,2023-02-01 14:36:19+00:00,0,Twitter for iPhone,"Hallucinant…

Âge moyen départ :
Fonction publique : 60 ans et 2 mois
Ratp : 55 ans et 9 mois
Sncf : 58 ans
Privé :… https://t.co/58kfftri4H"
94,Ligne R,2023-02-01 14:36:01+00:00,0,Hootsuite Inc.,"@adeline_7777 Bonjour Adeline, navrée pour mon retour un peu tardif. Le TER 891018 vient effectivement de passer da… https://t.co/qDVgeOycw4"
95,XVI.X.MCMLVII,2023-02-01 14:35:31+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
Gabriel Attal aux syndicats: ""si vous continuez à vous mobiliser, continuez à le faire en respectant les Français qu…"
96,chaussademadeleine,2023-02-01 14:35:28+00:00,0,Twitter for iPhone,"RT @fmomboisse: Fonction publique, secteur privé, RATP, SNCF, .. à quel âge part-on en retraite en moyenne? https://t.co/aVMXKfO124"
97,Midi Libre Nîmes,2023-02-01 14:35:19+00:00,0,Nonli,"L'année verra la fin des chantiers de la base nautique, la halte SNCF, de la réhabilitation de l'école Garirigues P… https://t.co/cVlMFYmDX9"
98,christine Périssé #AvecMacron,2023-02-01 14:34:53+00:00,0,Twitter Web App,"RT @BFMTV: 🔴 EN DIRECT
Retraites: Olivier Dussopt affirme que ""le scénario du retrait"" de la réforme entraînerait le recul de la pension de…"
99,RER D,2023-02-01 14:34:26+00:00,1,Hootsuite Inc.,"@Shir0sakii @shazyweed91 @laurie_msl2 Navrée pour cette attente prolongée en gare, nous avons fait remonter cet inc… https://t.co/TS4F5WXSJQ"
